AUC,MRR,NDCG@5,NDCG@10
0.8277,0.6319,0.6958,0.7172
0.8268,0.6287,0.6939,0.7154
0.8268,0.6287,0.6939,0.7154
0.8264,0.6228,0.6905,0.7112
0.8259,0.6315,0.6973,0.7185
0.8256,0.6524,0.7081,0.73
0.8252,0.6273,0.6943,0.7149
0.8251,0.6262,0.6935,0.7146
0.8249,0.6232,0.6905,0.7113
0.8247,0.6234,0.6902,0.7121
0.8243,0.6276,0.6943,0.714
0.8242,0.6503,0.7066,0.7284
0.824,0.6239,0.6898,0.7117
0.8238,0.6223,0.6894,0.7112
0.8226,0.6285,0.6929,0.7136
0.8225,0.622,0.69,0.7103
0.8224,0.6216,0.6874,0.7097
0.8221,0.6196,0.688,0.7087
0.822,0.6185,0.6861,0.7083
0.8218,0.6212,0.6892,0.7097
0.8212,0.6168,0.6847,0.7062
0.8211,0.6262,0.6908,0.7118
0.8207,0.6189,0.6878,0.7084
0.8206,0.6475,0.7052,0.7265
0.8205,0.6244,0.689,0.7096
0.8205,0.6206,0.6864,0.709
0.8201,0.6178,0.687,0.7076
0.8196,0.6237,0.6884,0.7098
0.8193,0.6189,0.6848,0.7077
0.8188,0.6242,0.6881,0.7108
0.8188,0.6152,0.6815,0.7046
0.8183,0.6168,0.6827,0.7058
0.8183,0.618,0.6842,0.7049
0.8182,0.6152,0.6846,0.7054
0.8181,0.627,0.6884,0.7115
0.8181,0.6271,0.6884,0.7116
0.8181,0.6165,0.6813,0.7052
0.8169,0.6102,0.6787,0.6998
0.8164,0.6095,0.6781,0.6992
0.8164,0.6136,0.6823,0.7038
0.8153,0.6167,0.6822,0.7044
0.8153,0.6076,0.6779,0.6998
0.8151,0.6139,0.6801,0.7014
0.8148,0.6099,0.6758,0.7001
0.8147,0.6132,0.6812,0.703
0.8136,0.6071,0.6745,0.6984
0.8131,0.6336,0.6935,0.7157
0.8131,0.635,0.6904,0.7141
0.8129,0.6107,0.6759,0.6985
0.8127,0.6353,0.6925,0.7155
0.8125,0.6159,0.6788,0.7026
0.8125,0.6058,0.6723,0.6968
0.8119,0.6055,0.6711,0.6945
0.8118,0.6453,0.6989,0.7225
0.8113,0.6161,0.6784,0.7031
